sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,exp_b,calc_b,abs(err),err %,avg abs error,avg % error
0.3,0.5,,0.7993,0.8,0.0007,0.0882,,,0.7993,0.8,0.0007,0.088,,,,0.8,0.7993,0.0007,0.088,,
0.3,0.6,,0.8921,0.9,0.0079,0.8794,,,0.8921,0.9,0.0079,0.8791,,,,0.9,0.8921,0.0079,0.8869,,
0.3,0.7,,0.9887,1,0.0113,1.1323,,,0.9887,1,0.0113,1.1323,,,,1,0.9887,0.0113,1.1452,,
0.3,0.8,,1.0877,1.1,0.0123,1.1222,,,1.0877,1.1,0.0123,1.1222,,,,1.1,1.0877,0.0123,1.1349,,
0.3,0.9,,1.1868,1.2,0.0132,1.1012,,,1.1868,1.2,0.0132,1.1012,,,,1.2,1.1868,0.0132,1.1134,,
0.3,1,,1.2811,1.3,0.0189,1.454,,,1.2811,1.3,0.0189,1.454,,,,1.3,1.2811,0.0189,1.4755,,
0.4,0,,0.4425,0.4,0.0425,10.6288,,,0.4401,0.4,0.0401,10.0125,,,,0.4,0.4396,0.0396,9.0092,,
0.4,0.1,,0.522,0.5,0.0219,4.3882,,,0.5218,0.5,0.0218,4.3635,,,,0.5,0.5218,0.0218,4.1767,,
0.4,0.2,,0.6074,0.6,0.0074,1.2287,,,0.6074,0.6,0.0074,1.2261,,,,0.6,0.6074,0.0074,1.2115,,
0.4,0.3,,0.7046,0.7,0.0046,0.6562,,,0.7046,0.7,0.0046,0.6539,,,,0.7,0.7046,0.0046,0.6492,,
0.4,0.4,,0.7957,0.8,0.0043,0.538,,,0.7957,0.8,0.0043,0.5383,,,,0.8,0.7957,0.0043,0.5413,,
0.4,0.5,,0.8891,0.9,0.0109,1.2095,,,0.8891,0.9,0.0109,1.2092,,,,0.9,0.8891,0.0109,1.224,,
0.4,0.6,,0.9888,1,0.0112,1.1171,,,0.9888,1,0.0112,1.1171,,,,1,0.9888,0.0112,1.1298,,
0.4,0.7,,1.0827,1.1,0.0173,1.5703,,,1.0827,1.1,0.0173,1.5703,,,,1.1,1.0827,0.0173,1.5954,,
0.4,0.8,,1.1814,1.2,0.0186,1.5518,,,1.1814,1.2,0.0186,1.5517,,,,1.2,1.1814,0.0186,1.5761,,
