sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,calc_b,exp_b,abs(err),err %,avg abs error,avg % error
0.8,0.8,,1.546989282,1.60002,0.053,3.3144,,,1.546988189,1.60002,0.053,3.3144,,,,1.546987891,1.60002,5.30E-02,3.31E+00,,
0.8,0.9,,1.651124954,1.70002,0.0489,2.8761,,,1.651124954,1.70002,0.0489,2.8761,,,,1.651124954,1.70002,4.89E-02,2.88E+00,,
0.8,1,,1.751988331,1.80002,0.048,2.6684,,,1.751988331,1.80002,0.048,2.6684,,,,1.751988133,1.80002,4.80E-02,2.67E+00,,
0.9,0,,1.501567761,0.90002,0.6015,66.8372,,,1.314305464,0.90002,0.4143,46.0307,,,,1.294298371,0.90002,3.94E-01,4.38E+01,,
0.9,0.1,,0.997292101,1.00002,0.0027,0.2728,,,0.997119943,1.00002,0.0029,0.29,,,,0.997094611,1.00002,2.93E-03,2.93E-01,,
0.9,0.2,,1.08203878,1.10002,0.018,1.6346,,,1.081987818,1.10002,0.018,1.6393,,,,1.081970731,1.10002,1.80E-02,1.64E+00,,
0.9,0.3,,1.170606514,1.20002,0.0294,2.4511,,,1.170616945,1.20002,0.0294,2.4502,,,,1.170617541,1.20002,2.94E-02,2.45E+00,,
0.9,0.4,,1.258789102,1.30002,0.0412,3.1716,,,1.258791884,1.30002,0.0412,3.1713,,,,1.258791685,1.30002,4.12E-02,3.17E+00,,
0.9,0.5,,1.355388363,1.40002,0.0446,3.1879,,,1.355392734,1.40002,0.0446,3.1876,,,,1.355393529,1.40002,4.46E-02,3.19E+00,,
0.9,0.6,,1.456449529,1.50002,0.0436,2.9047,,,1.456456284,1.50002,0.0436,2.9042,,,,1.456457476,1.50002,4.36E-02,2.90E+00,,
0.9,0.7,,1.54129982,1.60002,0.0587,3.67,,,1.541301707,1.60002,0.0587,3.6698,,,,1.541302303,1.60002,5.87E-02,3.67E+00,,
0.9,0.8,,1.641396284,1.70002,0.0586,3.4484,,,1.641396284,1.70002,0.0586,3.4484,,,,1.641396284,1.70002,5.86E-02,3.45E+00,,
0.9,0.9,,1.736965179,1.80002,0.0631,3.503,,,1.736965179,1.80002,0.0631,3.503,,,,1.736965179,1.80002,6.31E-02,3.50E+00,,
0.9,1,,1.842967669,1.90002,0.0571,3.0027,,,1.842967669,1.90002,0.0571,3.0027,,,,1.842967669,1.90002,5.71E-02,3.00E+00,,
1,0,,0.873985688,1.00002,0.126,12.6032,,,0.909337799,1.00002,0.0907,9.068,,,,0.914938649,1.00002,8.51E-02,8.51E+00,,
1,0.1,,1.084617575,1.10002,0.0154,1.4002,,,1.084879736,1.10002,0.0151,1.3764,,,,1.084916194,1.10002,1.51E-02,1.37E+00,,
1,0.2,,1.163678269,1.20002,0.0363,3.0284,,,1.163652341,1.20002,0.0364,3.0306,,,,1.163644294,1.20002,3.64E-02,3.03E+00,,
1,0.3,,1.263248722,1.30002,0.0368,2.8285,,,1.263248225,1.30002,0.0368,2.8286,,,,1.263249516,1.30002,3.68E-02,2.83E+00,,
1,0.4,,1.352924903,1.40002,0.0471,3.3639,,,1.352941593,1.40002,0.0471,3.3627,,,,1.352944573,1.40002,4.71E-02,3.36E+00,,
1,0.5,,1.454661091,1.50002,0.0454,3.0239,,,1.454649568,1.50002,0.0454,3.0247,,,,1.454648574,1.50002,4.54E-02,3.02E+00,,
1,0.6,,1.543099781,1.60002,0.0569,3.5575,,,1.543097297,1.60002,0.0569,3.5576,,,,1.543097099,1.60002,5.69E-02,3.56E+00,,
1,0.7,,1.638652186,1.70002,0.0614,3.6098,,,1.638652186,1.70002,0.0614,3.6098,,,,1.638652682,1.70002,6.14E-02,3.61E+00,,
1,0.8,,1.734618743,1.80002,0.0654,3.6334,,,1.734617551,1.80002,0.0654,3.6334,,,,1.734617551,1.80002,6.54E-02,3.63E+00,,
1,0.9,,1.830878258,1.90002,0.0691,3.639,,,1.830878258,1.90002,0.0691,3.639,,,,1.830878258,1.90002,6.91E-02,3.64E+00,,
1,1,,1.937424541,2.00002,0.0626,3.1297,,,1.937424541,2.00002,0.0626,3.1297,,,,1.937424541,2.00002,6.26E-02,3.13E+00,,
0,0,,0.029806001,2.00E-05,0.0298,148930.0056,,,0.029837033,2.00E-05,0.0298,149085.1639,,,,0.029846206,2.00E-05,2.98E-02,1.49E+05,,
0,0.1,,0.115439718,0.10002,0.0154,15.4166,,,0.115440475,0.10002,0.0154,15.4174,,,,0.115441394,0.10002,1.54E-02,1.54E+01,,
0,0.2,,0.214423686,0.20002,0.0144,7.2011,,,0.214423363,0.20002,0.0144,7.201,,,,0.214423686,0.20002,1.44E-02,7.20E+00,,
0,0.3,,0.316698402,0.30002,0.0167,5.5591,,,0.316698253,0.30002,0.0167,5.559,,,,0.316698253,0.30002,1.67E-02,5.56E+00,,
0,0.4,,0.411086157,0.40002,0.0111,2.7664,,,0.411086157,0.40002,0.0111,2.7664,,,,0.411086157,0.40002,1.11E-02,2.77E+00,,
0,0.5,,0.511369457,0.50002,0.0113,2.2698,,,0.511369457,0.50002,0.0113,2.2698,,,,0.511369457,0.50002,1.13E-02,2.27E+00,,
0,0.6,,0.6108434,0.60002,0.0108,1.8038,,,0.6108434,0.60002,0.0108,1.8038,,,,0.6108434,0.60002,1.08E-02,1.80E+00,,
0,0.7,,0.705349843,0.70002,0.0053,0.7614,,,0.705349843,0.70002,0.0053,0.7614,,,,0.705349843,0.70002,5.33E-03,7.61E-01,,
0,0.8,,0.807048231,0.80002,0.007,0.8785,,,0.807048231,0.80002,0.007,0.8785,,,,0.807048231,0.80002,7.03E-03,8.79E-01,,
0,0.9,,0.905778011,0.90002,0.0058,0.6398,,,0.905778011,0.90002,0.0058,0.6398,,,,0.905778011,0.90002,5.76E-03,6.40E-01,,
0,1,,1.004413168,1.00002,0.0044,0.4393,,,1.004413168,1.00002,0.0044,0.4393,,,,1.004413168,1.00002,4.39E-03,4.39E-01,,
0.1,0,,0.151300145,0.10002,0.0513,51.2699,,,0.150084409,0.10002,0.0501,50.0544,,,,0.149864691,0.10002,4.98E-02,4.98E+01,,
0.1,0.1,,0.226582165,0.20002,0.0266,13.2798,,,0.226543844,0.20002,0.0265,13.2606,,,,0.226543844,0.20002,2.65E-02,1.33E+01,,
0.1,0.2,,0.319249481,0.30002,0.0192,6.4094,,,0.3192541,0.30002,0.0192,6.4109,,,,0.31925785,0.30002,1.92E-02,6.41E+00,,
0.1,0.3,,0.415082574,0.40002,0.0151,3.7655,,,0.415085057,0.40002,0.0151,3.7661,,,,0.41508471,0.40002,1.51E-02,3.77E+00,,
0.1,0.4,,0.513415933,0.50002,0.0134,2.6791,,,0.513414641,0.50002,0.0134,2.6788,,,,0.513414393,0.50002,1.34E-02,2.68E+00,,
0.1,0.5,,0.608903666,0.60002,0.0089,1.4806,,,0.608904511,0.60002,0.0089,1.4807,,,,0.608904858,0.60002,8.88E-03,1.48E+00,,
0.1,0.6,,0.711035828,0.70002,0.011,1.5736,,,0.711035828,0.70002,0.011,1.5736,,,,0.711035927,0.70002,1.10E-02,1.57E+00,,
0.1,0.7,,0.804371983,0.80002,0.0044,0.544,,,0.804371834,0.80002,0.0044,0.544,,,,0.804371834,0.80002,4.35E-03,5.44E-01,,
0.1,0.8,,0.902241468,0.90002,0.0022,0.2468,,,0.902241468,0.90002,0.0022,0.2468,,,,0.902241468,0.90002,2.22E-03,2.47E-01,,
0.1,0.9,,1.000088255,1.00002,0.0001,0.0068,,,1.000088255,1.00002,0.0001,0.0068,,,,1.000088255,1.00002,6.83E-05,6.83E-03,,
0.1,1,,1.100711028,1.10002,0.0007,0.0628,,,1.100711028,1.10002,0.0007,0.0628,,,,1.100711028,1.10002,6.91E-04,6.28E-02,,
0.2,0,,0.229845469,0.20002,0.0298,14.9112,,,0.231074989,0.20002,0.0311,15.5259,,,,0.231262445,0.20002,3.12E-02,1.56E+01,,
0.2,0.1,,0.331375475,0.30002,0.0314,10.4511,,,0.331332137,0.30002,0.0313,10.4367,,,,0.33132794,0.30002,3.13E-02,1.04E+01,,
0.2,0.2,,0.419112593,0.40002,0.0191,4.7729,,,0.419121285,0.40002,0.0191,4.7751,,,,0.4191191,0.40002,1.91E-02,4.77E+00,,
0.2,0.3,,0.514493287,0.50002,0.0145,2.8945,,,0.514487624,0.50002,0.0145,2.8934,,,,0.514485538,0.50002,1.45E-02,2.89E+00,,
0.2,0.4,,0.611445705,0.60002,0.0114,1.9042,,,0.611446947,0.60002,0.0114,1.9044,,,,0.611447791,0.60002,1.14E-02,1.90E+00,,
0.2,0.5,,0.706656824,0.70002,0.0066,0.9481,,,0.706657519,0.70002,0.0066,0.9482,,,,0.706657618,0.70002,6.64E-03,9.48E-01,,
0.2,0.6,,0.804655651,0.80002,0.0046,0.5794,,,0.80465436,0.80002,0.0046,0.5793,,,,0.80465436,0.80002,4.63E-03,5.79E-01,,
0.2,0.7,,0.904736121,0.90002,0.0047,0.524,,,0.90473632,0.90002,0.0047,0.524,,,,0.904736022,0.90002,4.72E-03,5.24E-01,,
0.2,0.8,,1.002500455,1.00002,0.0025,0.248,,,1.002500653,1.00002,0.0025,0.2481,,,,1.002500653,1.00002,2.48E-03,2.48E-01,,
0.2,0.9,,1.099374493,1.10002,0.0006,0.0587,,,1.099374493,1.10002,0.0006,0.0587,,,,1.099374493,1.10002,6.46E-04,5.87E-02,,
0.2,1,,1.195434431,1.20002,0.0046,0.3821,,,1.195434431,1.20002,0.0046,0.3821,,,,1.195434431,1.20002,4.59E-03,3.82E-01,,
0.3,0,,0.35788166,0.30002,0.0579,19.2859,,,0.35854429,0.30002,0.0585,19.5068,,,,0.358630791,0.30002,5.86E-02,1.95E+01,,
0.3,0.1,,0.436317374,0.40002,0.0363,9.0739,,,0.436358949,0.40002,0.0363,9.0843,,,,0.436367244,0.40002,3.63E-02,9.09E+00,,
0.3,0.2,,0.519838432,0.50002,0.0198,3.9635,,,0.519840866,0.50002,0.0198,3.964,,,,0.519842158,0.50002,1.98E-02,3.96E+00,,
0.3,0.3,,0.611514697,0.60002,0.0115,1.9157,,,0.611517827,0.60002,0.0115,1.9162,,,,0.611516635,0.60002,1.15E-02,1.92E+00,,
